gene,category,rationale,exclude_recommended,in_5K_reference,gene_id,full_name,location,cell_type,cellchat_pathway,detection_pct_0041435,detection_pct_0041534,n_cells_0041435,n_cells_0041534,log2_detection_ratio_0041534_over_0041435,HALLMARK,REACTOME,KEGG,n_pathways
TSC22D3,,,no,False,,,,,,30.353,9.245,140866,22345,-1.715,,Ion Channel Transport R-HSA-983712; Stimuli-sensing Channels R-HSA-2672351; Transport Of Small Molecules R-HSA-382551,,3
TSG101,,,no,True,ENSG00000074319,Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101),Cytoplasm,,,3.546,2.661,16456,6431,-0.414,DNA Repair; Protein Secretion,Assembly Of HIV Virion R-HSA-175474; Autophagy R-HSA-9612973; Budding And Maturation Of HIV Virion R-HSA-162588; Disease R-HSA-1643685; Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729; HCMV Infection R-HSA-9609646; HCMV Late Events R-HSA-9610379; HIV Infection R-HSA-162906; HIV Life Cycle R-HSA-162587; Infectious Disease R-HSA-5663205; Late Endosomal Microautophagy R-HSA-9615710; Late Phase Of HIV Life Cycle R-HSA-162599; Membrane Binding And Targetting Of GAG Proteins R-HSA-174490; Membrane Trafficking R-HSA-199991; Vesicle-mediated Transport R-HSA-5653656,Endocytosis,18
TSHZ1,,,no,True,ENSG00000179981,Teashirt homolog 1 (Antigen NY-CO-33) (Serologically defined colon cancer antigen 33),Nucleus,medium spiny neuron,,0.736,0.439,3417,1062,-0.745,,,,0
TSLP,,,no,True,ENSG00000145777,Thymic stromal lymphopoietin,Secreted,stem cell;basal cell;respiratory basal cell;basal cell of epithelium of bronchus;brush cell of trachebronchial tree;brush cell of bronchus;basal cell of prostate epithelium;basal epithelial cell of tracheobronchial tree,IL2,0.126,0.252,586,609,0.997,,Cytokine Signaling In Immune System R-HSA-1280215; Immune System R-HSA-168256; Interleukin-7 Signaling R-HSA-1266695; Signaling By Interleukins R-HSA-449147,Cytokine-cytokine receptor interaction; JAK-STAT signaling pathway,6
TSNAXIP1,,,no,True,ENSG00000102904,Translin-associated factor X-interacting protein 1 (Trax-interacting protein 1),Cytoplasm,,,0.102,0.097,472,234,-0.071,,,,0
TSPAN10,,,no,True,ENSG00000182612,Tetraspanin-10 (Tspan-10) (Oculospanin),Membrane,,,0.173,0.059,802,142,-1.556,,,,0
TSPAN14,,,no,True,ENSG00000108219,Tetraspanin-14 (Tspan-14) (DC-TM4F2) (Transmembrane 4 superfamily member 14),Cell membrane,,,11.694,8.12,54271,19625,-0.526,,Amyloid Fiber Formation R-HSA-977225; Immune System R-HSA-168256; Innate Immune System R-HSA-168249; Metabolism Of Proteins R-HSA-392499; Neutrophil Degranulation R-HSA-6798695,,5
TSPAN18,,,no,True,ENSG00000157570,Tetraspanin-18 (Tspan-18),Membrane,endocardial cell;neuron,,0.445,0.559,2065,1351,0.329,,,,0
TSPAN3,,,no,True,ENSG00000140391,Tetraspanin-3 (Tspan-3) (Tetraspanin TM4-A) (Transmembrane 4 superfamily member 8),Membrane,,,5.742,3.784,26650,9145,-0.602,,,,0
TSPAN31,,,no,True,ENSG00000135452,Tetraspanin-31 (Tspan-31) (Sarcoma-amplified sequence),Membrane,,,0.181,0.257,838,621,0.509,,,,0
TSPAN8,,,no,True,ENSG00000127324,Tetraspanin-8 (Tspan-8) (Transmembrane 4 superfamily member 3) (Tumor-associated antigen CO-029),Membrane,intestinal crypt stem cell;intestinal crypt stem cell of small intestine;intestinal crypt stem cell of colon;enterocyte;enterocyte of epithelium of large intestine;enterocyte of colon;enterocyte of epithelium of small intestine;enterocyte of epithelium proper of ileum;intestine goblet cell;large intestine goblet cell;colon goblet cell;ileal goblet cell;paneth cell;paneth cell of colon;paneth cell of epithelium of small intestine;duodenum glandular cell;M cell of gut;microfold cell of epithelium of small intestine;intestinal epithelial cell;epithelial cell of large intestine;colon epithelial cell;epithelial cell of small intestine;transit amplifying cell of colon;transit amplifying cell of small intestine,,0.079,0.103,366,250,0.391,Protein Secretion,,,1
TSPAN9,,,no,True,ENSG00000011105,Tetraspanin-9 (Tspan-9) (Tetraspan NET-5),Membrane,,,1.913,1.571,8880,3797,-0.284,,,,0
TSPYL5,,,no,True,ENSG00000180543,Testis-specific Y-encoded-like protein 5 (TSPY-like protein 5),,,,1.106,0.609,5131,1472,-0.86,,,,0
TSSC4,,,no,True,ENSG00000184281,U5 small nuclear ribonucleoprotein TSSC4 (Tumor-suppressing STF cDNA 4 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 4 protein),Nucleus,,,1.473,1.051,6838,2540,-0.487,,,,0
TSSK1B,,,no,True,ENSG00000212122,Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1),Cytoplasm,,,0.184,0.257,855,620,0.478,,,,0
TSSK3,,,no,True,ENSG00000162526,Testis-specific serine/threonine-protein kinase 3 (TSK-3) (TSSK-3) (Testis-specific kinase 3),,,,0.061,0.104,283,251,0.768,,,,0
TTC12,,,no,True,ENSG00000149292,Tetratricopeptide repeat protein 12 (TPR repeat protein 12),Cytoplasm,,,1.761,1.351,8171,3264,-0.383,,,,0
TTC23,,,no,True,ENSG00000103852,Tetratricopeptide repeat protein 23 (TPR repeat protein 23) (Cervical cancer proto-oncogene 8 protein) (HCC-8),Cell projection,,,0.31,0.341,1437,823,0.137,,,,0
TTC23L,,,no,True,ENSG00000205838,Tetratricopeptide repeat protein 23-like,Cytoplasm,neural progenitor cell,,0.081,0.089,375,216,0.145,,,,0
TTC4,,,no,True,ENSG00000243725,Tetratricopeptide repeat protein 4 (TPR repeat protein 4),Nucleus,,,1.774,1.607,8233,3885,-0.142,,,,0
TTC9C,,,no,True,ENSG00000162222,Tetratricopeptide repeat protein 9C (TPR repeat protein 9C),,,,4.875,3.803,22623,9191,-0.358,,,,0
TTI1,,,no,True,ENSG00000101407,TELO2-interacting protein 1 homolog (Protein SMG10),Cytoplasm,,,1.509,1.106,7003,2673,-0.448,,,mTOR signaling pathway,1
TTK,,,no,True,ENSG00000112742,Dual specificity protein kinase TTK,,,,0.279,0.334,1297,807,0.257,G2-M Checkpoint; Mitotic Spindle; Spermatogenesis,,Cell cycle,4
TTPA,,,no,True,ENSG00000137561,Alpha-tocopherol transfer protein (Alpha-TTP),Cytoplasm,,,0.042,0.084,193,202,1.007,Xenobiotic Metabolism,Metabolism Of Fat-Soluble Vitamins R-HSA-6806667; Metabolism Of Vitamins And Cofactors R-HSA-196854; Metabolism R-HSA-1430728,,4
TUBA4A,,,no,True,ENSG00000127824,Tubulin alpha-4A chain,Cytoplasm,pancreatic D cell;platelet;T-helper 17 cell;megakaryocyte;erythroid lineage cell,,4.739,2.032,21995,4910,-1.222,Mitotic Spindle; UV Response Up; mTORC1 Signaling,"AURKA Activation By TPX2 R-HSA-8854518; Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912; Cell Cycle R-HSA-1640170; Cell Cycle, Mitotic R-HSA-69278; Centrosome Maturation R-HSA-380287; Chaperonin-mediated Protein Folding R-HSA-390466; Cilium Assembly R-HSA-5617833; Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958; Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960; G2/M Transition R-HSA-69275; Hemostasis R-HSA-109582; Loss Of Nlp From Mitotic Centrosomes R-HSA-380259; M Phase R-HSA-68886; Metabolism Of Proteins R-HSA-392499; Mitotic Anaphase R-HSA-68882; Mitotic G2-G2/M Phases R-HSA-453274; Mitotic Metaphase And Anaphase R-HSA-2555396; Mitotic Prometaphase R-HSA-68877; Nuclear Envelope (NE) Reassembly R-HSA-2995410; Organelle Biogenesis And Maintenance R-HSA-1852241; Platelet Activation, Signaling And Aggregation R-HSA-76002; Platelet Degranulation R-HSA-114608; Post-chaperonin Tubulin Folding Pathway R-HSA-389977; Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957; Protein Folding R-HSA-391251; Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320; Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942; Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005; Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328",Alzheimer disease; Amyotrophic lateral sclerosis; Apoptosis; Gap junction; Huntington disease; Parkinson disease; Pathogenic Escherichia coli infection; Pathways of neurodegeneration; Phagosome; Prion disease; Salmonella infection; Tight junction,44
TUBB2A,,,no,True,ENSG00000137267,Tubulin beta-2A chain (Tubulin beta class IIa),Cytoplasm,radial glial cell;forebrain radial glial cell;enteric neuron;cortical interneuron;cerebral cortex GABAergic interneuron;inhibitory interneuron;Cajal-Retzius cell;visceromotor neuron;peripheral nervous system neuron,,0.351,0.385,1630,931,0.133,TNF-alpha Signaling via NF-kB; Unfolded Protein Response,"Carboxyterminal Post-Translational Modifications Of Tubulin R-HSA-8955332; Cell Cycle R-HSA-1640170; Cell Cycle, Mitotic R-HSA-69278; Chaperonin-mediated Protein Folding R-HSA-390466; Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958; Formation Of Tubulin Folding Intermediates By CCT/TriC R-HSA-389960; M Phase R-HSA-68886; Metabolism Of Proteins R-HSA-392499; Mitotic Anaphase R-HSA-68882; Mitotic Metaphase And Anaphase R-HSA-2555396; Nuclear Envelope (NE) Reassembly R-HSA-2995410; Post-chaperonin Tubulin Folding Pathway R-HSA-389977; Post-translational Protein Modification R-HSA-597592; Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957; Protein Folding R-HSA-391251; Sealing Of Nuclear Envelope (NE) By ESCRT-III R-HSA-9668328",Alzheimer disease; Amyotrophic lateral sclerosis; Gap junction; Huntington disease; Parkinson disease; Pathogenic Escherichia coli infection; Pathways of neurodegeneration; Phagosome; Prion disease; Salmonella infection,28
TUBD1,,,no,True,ENSG00000108423,Tubulin delta chain (Delta-tubulin),Nucleus,,,0.382,0.476,1774,1150,0.316,Mitotic Spindle,,,1
TUBG1,,,no,True,ENSG00000131462,Tubulin gamma-1 chain (Gamma-1-tubulin) (Gamma-tubulin complex component 1) (GCP-1),Cytoplasm,erythroid lineage cell;enucleated reticulocyte;erythroblast,,1.05,0.664,4871,1606,-0.659,Apical Junction; E2F Targets; mTORC1 Signaling,"AURKA Activation By TPX2 R-HSA-8854518; Anchoring Of Basal Body To Plasma Membrane R-HSA-5620912; Cell Cycle R-HSA-1640170; Cell Cycle, Mitotic R-HSA-69278; Centrosome Maturation R-HSA-380287; Cilium Assembly R-HSA-5617833; G2/M Transition R-HSA-69275; Loss Of Nlp From Mitotic Centrosomes R-HSA-380259; M Phase R-HSA-68886; Mitotic G2-G2/M Phases R-HSA-453274; Mitotic Prometaphase R-HSA-68877; Organelle Biogenesis And Maintenance R-HSA-1852241; Recruitment Of NuMA To Mitotic Centrosomes R-HSA-380320; Regulation Of PLK1 Activity At G2/M Transition R-HSA-2565942",Human papillomavirus infection,18
TUFM,,,no,True,ENSG00000178952,"Elongation factor Tu, mitochondrial (EF-Tu) (P43)",Mitochondrion,,,6.25,4.915,29008,11880,-0.347,Myc Targets V1,Disease R-HSA-1643685; Infectious Disease R-HSA-5663205; Metabolism Of Proteins R-HSA-392499; Mitochondrial Translation Elongation R-HSA-5389840; Mitochondrial Translation R-HSA-5368287; SARS-CoV Infections R-HSA-9679506; SARS-CoV-2 Infection R-HSA-9694516; SARS-CoV-2 Modulates Autophagy R-HSA-9754560; SARS-CoV-2-host Interactions R-HSA-9705683; Translation R-HSA-72766,,11
TUSC2,,,no,True,ENSG00000114383,Tumor suppressor candidate 2 (Fusion 1 protein) (Fus-1 protein) (PDGFA-associated protein 2),,,,2.232,2.074,10358,5012,-0.106,,,,0
TWSG1,,,no,True,ENSG00000128791,Twisted gastrulation protein homolog 1,Secreted,kidney collecting duct principal cell;renal principal cell,,0.954,1.198,4427,2896,0.329,IL-2/STAT5 Signaling,,,1
TXNDC16,,,no,True,ENSG00000087301,Thioredoxin domain-containing protein 16,Secreted,,,0.869,0.736,4033,1778,-0.24,,,,0
TXNDC9,,,no,True,ENSG00000115514,Thioredoxin domain-containing protein 9 (ATP-binding protein associated with cell differentiation) (Protein 1-4),Cytoplasm,,,2.775,2.136,12880,5163,-0.378,,,,0
TXNIP,,,no,False,,,,,,63.041,31.57,292566,76300,-0.998,Apoptosis; Interferon Alpha Response; Interferon Gamma Response; p53 Pathway,"Cell Recruitment (Pro-Inflammatory Response) R-HSA-9664424; Cellular Response To Chemical Stress R-HSA-9711123; Cellular Responses To Stimuli R-HSA-8953897; Cellular Responses To Stress R-HSA-2262752; Cytoprotection By HMOX1 R-HSA-9707564; Disease R-HSA-1643685; FOXO-mediated Transcription R-HSA-9614085; Gene Expression (Transcription) R-HSA-74160; Generic Transcription Pathway R-HSA-212436; Immune System R-HSA-168256; Infectious Disease R-HSA-5663205; Inflammasomes R-HSA-622312; Innate Immune System R-HSA-168249; Leishmania Infection R-HSA-9658195; NLRP3 Inflammasome R-HSA-844456; Nucleotide-binding Domain, Leucine Rich Repeat Containing NLR Signaling Pathways R-HSA-168643; RNA Polymerase II Transcription R-HSA-73857; Regulation Of FOXO Transcriptional Activity By Acetylation R-HSA-9617629",NOD-like receptor signaling pathway,23
TXNRD1,,,no,True,ENSG00000198431,"Thioredoxin reductase 1, cytoplasmic (TR)",Cytoplasm,epithelial cell of lacrimal sac;myoepithelial cell;myoepithelial cell of mammary gland;basal cell of prostate epithelium;conjunctival epithelial cell;preadipocyte;brown preadipocyte;brown fat cell,,2.851,2.575,13231,6224,-0.147,Reactive Oxygen Species Pathway; mTORC1 Signaling,Cellular Response To Chemical Stress R-HSA-9711123; Cellular Responses To Stimuli R-HSA-8953897; Cellular Responses To Stress R-HSA-2262752; Detoxification Of Reactive Oxygen Species R-HSA-3299685; Disease R-HSA-1643685; Gene Expression (Transcription) R-HSA-74160; Generic Transcription Pathway R-HSA-212436; Infectious Disease R-HSA-5663205; Interconversion Of Nucleotide Di- And Triphosphates R-HSA-499943; KEAP1-NFE2L2 Pathway R-HSA-9755511; Metabolism Of Amino Acids And Derivatives R-HSA-71291; Metabolism Of Lipids R-HSA-556833; Metabolism Of Nucleotides R-HSA-15869; Metabolism R-HSA-1430728; Nuclear Events Mediated By NFE2L2 R-HSA-9759194; PPARA Activates Gene Expression R-HSA-1989781; RNA Polymerase II Transcription R-HSA-73857; Regulation Of Lipid Metabolism By PPARalpha R-HSA-400206; Selenoamino Acid Metabolism R-HSA-2408522; TP53 Regulates Metabolic Genes R-HSA-5628897; Transcriptional Regulation By TP53 R-HSA-3700989; Uptake And Actions Of Bacterial Toxins R-HSA-5339562; Uptake And Function Of Diphtheria Toxin R-HSA-5336415,Hepatocellular carcinoma; Pathways in cancer; Selenocompound metabolism,28
TYK2,,,no,True,ENSG00000105397,Non-receptor tyrosine-protein kinase TYK2,,,,8.772,6.668,40708,16116,-0.396,IL-6/JAK/STAT3 Signaling,Cytokine Signaling In Immune System R-HSA-1280215; Disease R-HSA-1643685; IL-6-type Cytokine Receptor Ligand Interactions R-HSA-6788467; Immune System R-HSA-168256; Inactivation Of CSF3 (G-CSF) Signaling R-HSA-9705462; Infectious Disease R-HSA-5663205; Interferon Alpha/Beta Signaling R-HSA-909733; Interferon Signaling R-HSA-913531; Interleukin-10 Signaling R-HSA-6783783; Interleukin-12 Family Signaling R-HSA-447115; Interleukin-12 Signaling R-HSA-9020591; Interleukin-20 Family Signaling R-HSA-8854691; Interleukin-23 Signaling R-HSA-9020933; Interleukin-27 Signaling R-HSA-9020956; Interleukin-35 Signaling R-HSA-8984722; Interleukin-4 And Interleukin-13 Signaling R-HSA-6785807; Interleukin-6 Family Signaling R-HSA-6783589; Interleukin-6 Signaling R-HSA-1059683; MAPK Family Signaling Cascades R-HSA-5683057; MAPK1 (ERK2) Activation R-HSA-112411; MAPK1/MAPK3 Signaling R-HSA-5684996; MAPK3 (ERK1) Activation R-HSA-110056; Other Interleukin Signaling R-HSA-449836; Potential Therapeutics For SARS R-HSA-9679191; RAF-independent MAPK1/3 Activation R-HSA-112409; Regulation Of IFNA/IFNB Signaling R-HSA-912694; SARS-CoV Infections R-HSA-9679506; SARS-CoV-2 Activates/Modulates Innate And Adaptive Immune Responses R-HSA-9705671; SARS-CoV-2 Infection R-HSA-9694516; SARS-CoV-2-host Interactions R-HSA-9705683; Signal Transduction R-HSA-162582; Signaling By CSF3 (G-CSF) R-HSA-9674555; Signaling By Interleukins R-HSA-449147,Coronavirus disease; Epstein-Barr virus infection; Hepatitis B; Hepatitis C; Herpes simplex virus 1 infection; Human papillomavirus infection; Influenza A; JAK-STAT signaling pathway; Kaposi sarcoma-associated herpesvirus infection; Measles; NOD-like receptor signaling pathway; Necroptosis; Osteoclast differentiation; Th1 and Th2 cell differentiation; Th17 cell differentiation; Toxoplasmosis,50
TYRO3,,,no,True,ENSG00000092445,Tyrosine-protein kinase receptor TYRO3,Cell membrane,kidney glomerular epithelial cell;podocyte;interstitial cell of ovary,GAS;PROS;TULP,0.443,0.426,2058,1030,-0.057,UV Response Up,,,1
U2AF2,,,no,True,ENSG00000063244,Splicing factor U2AF 65 kDa subunit (U2 auxiliary factor 65 kDa subunit) (hU2AF(65)) (hU2AF65) (U2 snRNP auxiliary factor large subunit),Nucleus,,,12.224,8.204,56732,19829,-0.575,,Gene Expression (Transcription) R-HSA-74160; Metabolism Of RNA R-HSA-8953854; Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203; RNA Polymerase II Transcription R-HSA-73857; RNA Polymerase II Transcription Termination R-HSA-73856; Transport Of Mature Transcript To Cytoplasm R-HSA-72202; Transport Of Mature mRNA Derived From An Intron-Containing Transcript R-HSA-159236; mRNA 3-End Processing R-HSA-72187; mRNA Splicing - Major Pathway R-HSA-72163; mRNA Splicing R-HSA-72172,Spliceosome,11
UBA1,,,no,True,ENSG00000130985,Ubiquitin-like modifier-activating enzyme 1,Cytoplasm,pancreatic PP cell,,6.233,3.776,28926,9126,-0.723,,Adaptive Immune System R-HSA-1280218; Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168; Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169; Immune System R-HSA-168256; Metabolism Of Proteins R-HSA-392499; Post-translational Protein Modification R-HSA-597592; Protein Ubiquitination R-HSA-8852135; Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652,Parkinson disease; Pathways of neurodegeneration; Ubiquitin mediated proteolysis,11
UBAP2,,,no,True,ENSG00000137073,Ubiquitin-associated protein 2 (UBAP-2) (RNA polymerase II degradation factor UBAP2),Nucleus,,,2.01,1.68,9330,4061,-0.259,,,,0
UBAP2L,,,no,True,ENSG00000143569,Ubiquitin-associated protein 2-like (Protein NICE-4) (RNA polymerase II degradation factor UBAP2L),Nucleus,,,12.866,8.731,59712,21101,-0.559,,,,0
UBASH3A,,,no,True,ENSG00000160185,Ubiquitin-associated and SH3 domain-containing protein A (Cbl-interacting protein 4) (CLIP4) (Suppressor of T-cell receptor signaling 2) (STS-2) (T-cell ubiquitin ligand 1) (TULA-1),Cytoplasm;Nucleus,,,5.806,5.036,26947,12171,-0.205,,,,0
UBASH3B,,,no,True,ENSG00000154127,Ubiquitin-associated and SH3 domain-containing protein B,Cytoplasm,,,1.598,1.628,7417,3935,0.027,,,,0
UBE2D1,,,no,True,ENSG00000072401,Ubiquitin-conjugating enzyme E2 D1,Cytoplasm,,,0.696,1.017,3230,2458,0.547,Allograft Rejection,"APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409; APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143; APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048; APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409; APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154; APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178; APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419; Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139; Aberrant Regulation Of Mitotic Exit In Cancer Due To RB1 Defects R-HSA-9687136; Activation Of APC/C And APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176814; Adaptive Immune System R-HSA-1280218; Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168; Assembly Of Pre-Replicative Complex R-HSA-68867; Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084; C-type Lectin Receptors (CLRs) R-HSA-5621481; CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017; CLEC7A (Dectin-1) Signaling R-HSA-5607764; Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184; Cell Cycle Checkpoints R-HSA-69620; Cell Cycle R-HSA-1640170; Cell Cycle, Mitotic R-HSA-69278; Cellular Response To Hypoxia R-HSA-1234174; Cellular Responses To Stimuli R-HSA-8953897; Cellular Responses To Stress R-HSA-2262752; Cellular Senescence R-HSA-2559583; Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169; Conversion From APC/C:Cdc20 To APC/C:Cdh1 In Late Anaphase R-HSA-176407; Cytokine Signaling In Immune System R-HSA-1280215; DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928; DNA Replication Pre-Initiation R-HSA-69002; DNA Replication R-HSA-69306; Deubiquitination R-HSA-5688426; Disease R-HSA-1643685; Diseases Of Mitotic Cell Cycle R-HSA-9675126; Downregulation Of SMAD2/3:SMAD4 Transcriptional Activity R-HSA-2173795; Downstream TCR Signaling R-HSA-202424; E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654; FCERI Mediated NF-kB Activation R-HSA-2871837; Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202; Gene Expression (Transcription) R-HSA-74160; Generic Transcription Pathway R-HSA-212436; IKK Complex Recruitment Mediated By RIP1 R-HSA-937041; Immune System R-HSA-168256; Inactivation Of APC/C Via Direct Inhibition Of APC/C Complex R-HSA-141430; Inactivation Of CSF3 (G-CSF) Signaling R-HSA-9705462; Innate Immune System R-HSA-168249; M Phase R-HSA-68886; Metabolism Of Proteins R-HSA-392499; Mitotic Anaphase R-HSA-68882; Mitotic Metaphase And Anaphase R-HSA-2555396; Mitotic Spindle Checkpoint R-HSA-69618; MyD88-independent TLR4 Cascade R-HSA-166166; Neddylation R-HSA-8951664; Negative Regulators Of DDX58/IFIH1 Signaling R-HSA-936440; Ovarian Tumor Domain Proteases R-HSA-5689896; Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176; Peroxisomal Protein Import R-HSA-9033241; Phosphorylation Of APC/C R-HSA-176412; Post-translational Protein Modification R-HSA-597592; Protein Localization R-HSA-9609507; Protein Ubiquitination R-HSA-8852135; RNA Polymerase II Transcription R-HSA-73857; Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408; S Phase R-HSA-69242; Senescence-Associated Secretory Phenotype (SASP) R-HSA-2559582; Separation Of Sister Chromatids R-HSA-2467813; Signal Transduction R-HSA-162582; Signaling By BMP R-HSA-201451; Signaling By CSF3 (G-CSF) R-HSA-9674555; Signaling By TGF-beta Receptor Complex R-HSA-170834; Signaling By TGFB Family Members R-HSA-9006936; Switching Of Origins To A Post-Replicative State R-HSA-69052; Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652; Synthesis Of DNA R-HSA-69239; TCR Signaling R-HSA-202403; TICAM1, RIP1-mediated IKK Complex Recruitment R-HSA-168927; Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164; Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016; Toll-like Receptor Cascades R-HSA-168898; Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793; Transcriptional Regulation By VENTX R-HSA-8853884",Protein processing in endoplasmic reticulum; Shigellosis; Ubiquitin mediated proteolysis,85
UBE2D2,,,no,True,ENSG00000131508,Ubiquitin-conjugating enzyme E2 D2,,chorionic trophoblast cell;mononuclear cell;T cell,,2.629,2.693,12202,6508,0.034,,"Adaptive Immune System R-HSA-1280218; Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168; C-type Lectin Receptors (CLRs) R-HSA-5621481; CLEC7A (Dectin-1) Signaling R-HSA-5607764; Cellular Response To Hypoxia R-HSA-1234174; Cellular Responses To Stimuli R-HSA-8953897; Cellular Responses To Stress R-HSA-2262752; Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169; Cytokine Signaling In Immune System R-HSA-1280215; DDX58/IFIH1-mediated Induction Of Interferon-Alpha/Beta R-HSA-168928; Downstream TCR Signaling R-HSA-202424; E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654; FCERI Mediated NF-kB Activation R-HSA-2871837; Fc Epsilon Receptor (FCERI) Signaling R-HSA-2454202; IKK Complex Recruitment Mediated By RIP1 R-HSA-937041; Immune System R-HSA-168256; Inactivation Of CSF3 (G-CSF) Signaling R-HSA-9705462; Innate Immune System R-HSA-168249; Metabolism Of Proteins R-HSA-392499; MyD88-independent TLR4 Cascade R-HSA-166166; Neddylation R-HSA-8951664; Negative Regulators Of DDX58/IFIH1 Signaling R-HSA-936440; Oxygen-dependent Proline Hydroxylation Of Hypoxia-inducible Factor Alpha R-HSA-1234176; Peroxisomal Protein Import R-HSA-9033241; Post-translational Protein Modification R-HSA-597592; Protein Localization R-HSA-9609507; Protein Ubiquitination R-HSA-8852135; Signaling By CSF3 (G-CSF) R-HSA-9674555; Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652; TCR Signaling R-HSA-202403; TICAM1, RIP1-mediated IKK Complex Recruitment R-HSA-168927; Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164; Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016; Toll-like Receptor Cascades R-HSA-168898",Protein processing in endoplasmic reticulum; Shigellosis; Ubiquitin mediated proteolysis,37
UBE2L3,,,no,True,ENSG00000185651,Ubiquitin-conjugating enzyme E2 L3,Nucleus,,,1.249,1.383,5795,3343,0.148,Myc Targets V1,Adaptive Immune System R-HSA-1280218; Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168; Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169; E3 Ubiquitin Ligases Ubiquitinate Target Proteins R-HSA-8866654; Immune System R-HSA-168256; Metabolism Of Proteins R-HSA-392499; Post-translational Protein Modification R-HSA-597592; Protein Ubiquitination R-HSA-8852135; Synthesis Of Active Ubiquitin: Roles Of E1 And E2 Enzymes R-HSA-8866652,Parkinson disease; Pathways of neurodegeneration; Ubiquitin mediated proteolysis,13
UBE3A,,,no,True,ENSG00000114062,Ubiquitin-protein ligase E3A,Cytoplasm,,,4.842,4.393,22471,10617,-0.14,,Adaptive Immune System R-HSA-1280218; Antigen Processing: Ubiquitination And Proteasome Degradation R-HSA-983168; Class I MHC Mediated Antigen Processing And Presentation R-HSA-983169; Immune System R-HSA-168256,Human papillomavirus infection; Ubiquitin mediated proteolysis; Viral carcinogenesis,7
UBE4B,,,no,True,ENSG00000130939,Ubiquitin conjugation factor E4 B,Cytoplasm,,,4.212,3.278,19546,7922,-0.362,,,Protein processing in endoplasmic reticulum; Ubiquitin mediated proteolysis,2
UBR3,,,no,True,ENSG00000144357,E3 ubiquitin-protein ligase UBR3,Membrane,,,2.39,2.302,11092,5563,-0.054,,,,0
